s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.7495058E-004,-2.0645134E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7495264E-004, 0.0000000E+000, 0.0000000E+000
 1.0023766E+000, 3.1614508E+002,-9.9235632E+001, 3.5037276E+000,-4.6624063E+000,-2.0447549E-002, 0.0000000E+000, 0.0000000E+000, 1.9090271E+002, 2.1573032E+002, 7.4408198E-003, 7.4408198E-003
 2.0040860E+000, 6.6326654E+002,-1.7064950E+002, 6.5650025E+000,-1.0258138E+001,-4.3289333E-002, 0.0000000E+000, 0.0000000E+000, 4.8609262E+002, 4.8888061E+002, 1.4464174E-002, 1.4464174E-002
 3.0083334E+000, 7.1979859E+002,-1.8935723E+002, 5.7938796E+000,-2.4791011E+001,-4.7413128E-002, 0.0000000E+000, 0.0000000E+000, 5.1221846E+002, 5.1139681E+002, 1.5938681E-002, 1.5938681E-002
 4.0102634E+000, 6.6637629E+002,-1.7637363E+002,-6.8774668E+000,-5.6019156E+001,-4.7521495E-002, 0.0000000E+000, 0.0000000E+000, 4.2827876E+002, 4.2705852E+002, 1.6152924E-002, 1.6152924E-002
 5.0035772E+000, 7.3263768E+002,-1.9312581E+002,-5.3558704E+001,-6.2026161E+001,-4.7719674E-002, 0.0000000E+000, 0.0000000E+000, 4.2420609E+002, 4.2387929E+002, 1.6182030E-002, 1.6182030E-002
 6.0041113E+000, 7.2117659E+002,-1.8817319E+002,-8.5513097E+001,-6.6405043E+001,-4.7347148E-002, 0.0000000E+000, 0.0000000E+000, 3.8217448E+002, 3.8103791E+002, 1.6185976E-002, 1.6185976E-002
 7.0041227E+000, 7.0240880E+002,-1.8444689E+002,-1.2327403E+002,-6.8382384E+001,-4.6851436E-002, 0.0000000E+000, 0.0000000E+000, 3.2657621E+002, 3.2625865E+002, 1.6186515E-002, 1.6186515E-002
 8.0093956E+000, 7.3517518E+002,-1.9340603E+002,-1.5319571E+002,-7.6699397E+001,-4.6856817E-002, 0.0000000E+000, 0.0000000E+000, 3.1334650E+002, 3.1182719E+002, 1.6186588E-002, 1.6186588E-002
 9.0095263E+000, 7.5802500E+002,-2.0242232E+002,-1.7128561E+002,-8.2282141E+001,-4.6871774E-002, 0.0000000E+000, 0.0000000E+000, 3.0306859E+002, 3.0198806E+002, 1.6186598E-002, 1.6186598E-002
 1.0009256E+001, 7.4366710E+002,-2.0172444E+002,-1.9541804E+002,-8.5063367E+001,-4.6720040E-002, 0.0000000E+000, 0.0000000E+000, 2.6357011E+002, 2.6141453E+002, 1.6186599E-002, 1.6186599E-002
 1.1000122E+001, 7.0937203E+002,-1.9792338E+002,-2.1791162E+002,-8.4187299E+001,-4.6764060E-002, 0.0000000E+000, 0.0000000E+000, 2.1066861E+002, 2.0930296E+002, 1.6186599E-002, 1.6186599E-002
 1.2007970E+001, 7.5602345E+002,-2.1217616E+002,-2.4842530E+002,-8.5516697E+001,-4.6767867E-002, 0.0000000E+000, 0.0000000E+000, 2.1329600E+002, 2.0985852E+002, 1.6186599E-002, 1.6186599E-002
 1.3002035E+001, 7.8643517E+002,-2.2476990E+002,-2.7925157E+002,-8.9291124E+001,-4.6943280E-002, 0.0000000E+000, 0.0000000E+000, 1.9587530E+002, 1.9307563E+002, 1.6186599E-002, 1.6186599E-002
 1.4005213E+001, 8.4563434E+002,-2.4451420E+002,-3.1487425E+002,-9.6813172E+001,-4.7436821E-002, 0.0000000E+000, 0.0000000E+000, 1.9107724E+002, 1.8938529E+002, 1.6186599E-002, 1.6186599E-002
 1.5010818E+001, 7.4319400E+002,-2.2667796E+002,-3.2736178E+002,-1.0517525E+002,-4.7514927E-002, 0.0000000E+000, 0.0000000E+000, 8.7774346E+001, 8.3931487E+001, 1.6186599E-002, 1.6186599E-002
 1.6000965E+001, 7.4563778E+002,-2.3215522E+002,-3.0977077E+002,-9.9759627E+001,-4.7532216E-002, 0.0000000E+000, 0.0000000E+000, 1.0717446E+002, 1.0390463E+002, 1.6186599E-002, 1.6186599E-002
 1.7012680E+001, 7.3435064E+002,-2.3199673E+002,-3.0900097E+002,-1.0086437E+002,-4.7346334E-002, 0.0000000E+000, 0.0000000E+000, 9.5768648E+001, 9.2441226E+001, 1.6186599E-002, 1.6186599E-002
 1.8008673E+001, 7.3827459E+002,-2.3468208E+002,-3.2624458E+002,-1.0137596E+002,-4.7386566E-002, 0.0000000E+000, 0.0000000E+000, 8.0806711E+001, 7.5924582E+001, 1.6186599E-002, 1.6186599E-002
 1.9013691E+001, 7.1439085E+002,-2.3586515E+002,-3.4733417E+002,-1.0837930E+002,-4.6939703E-002, 0.0000000E+000, 0.0000000E+000, 2.6565236E+001, 2.2765290E+001, 1.6186599E-002, 1.6186599E-002
 2.0004877E+001, 7.3729155E+002,-2.4029360E+002,-3.5706868E+002,-1.0947970E+002,-4.6855238E-002, 0.0000000E+000, 0.0000000E+000, 3.5042107E+001, 3.0402705E+001, 1.6186599E-002, 1.6186599E-002
 2.1004026E+001, 8.1656951E+002,-2.6391995E+002,-3.7317634E+002,-1.1272148E+002,-4.7238426E-002, 0.0000000E+000, 0.0000000E+000, 7.0088373E+001, 6.6704512E+001, 1.6186599E-002, 1.6186599E-002
 2.2002003E+001, 7.3659880E+002,-2.4796461E+002,-3.4948677E+002,-1.1956924E+002,-4.7052866E-002, 0.0000000E+000, 0.0000000E+000, 2.4465548E+001, 1.9531133E+001, 1.6186599E-002, 1.6186599E-002
 2.3003054E+001, 7.5780239E+002,-2.5856200E+002,-3.8113904E+002,-1.1679678E+002,-4.7078123E-002, 0.0000000E+000, 0.0000000E+000, 2.7700554E+000, 1.2574876E+000, 1.6186599E-002, 1.6186599E-002
 2.4011530E+001, 7.3109883E+002,-2.4604766E+002,-3.8048952E+002,-1.1299625E+002,-4.7285574E-002, 0.0000000E+000, 0.0000000E+000,-4.4729260E+000,-8.4818939E+000, 1.6186599E-002, 1.6186599E-002
 2.5011930E+001, 7.5126901E+002,-2.5689817E+002,-3.4502757E+002,-1.1413065E+002,-4.7159986E-002, 0.0000000E+000, 0.0000000E+000, 3.7965300E+001, 3.5165452E+001, 1.6186599E-002, 1.6186599E-002
 2.6006432E+001, 7.7743610E+002,-2.5879245E+002,-3.8770669E+002,-1.1765775E+002,-4.7434978E-002, 0.0000000E+000, 0.0000000E+000, 1.9108026E+001, 1.3231774E+001, 1.6186599E-002, 1.6186599E-002
 2.7013027E+001, 7.3904926E+002,-2.5511056E+002,-3.6254547E+002,-1.1797858E+002,-4.7265593E-002, 0.0000000E+000, 0.0000000E+000, 6.5316967E+000, 3.3673772E+000, 1.6186599E-002, 1.6186599E-002
 2.8003077E+001, 8.3056423E+002,-2.7191358E+002,-3.8701559E+002,-1.1391053E+002,-4.7867697E-002, 0.0000000E+000, 0.0000000E+000, 6.0536541E+001, 5.7676666E+001, 1.6186599E-002, 1.6186599E-002
 2.9002909E+001, 7.2403377E+002,-2.5344850E+002,-3.8223983E+002,-1.1743720E+002,-4.7814483E-002, 0.0000000E+000, 0.0000000E+000,-2.3637054E+001,-2.9139578E+001, 1.6186599E-002, 1.6186599E-002
 3.0010689E+001, 7.3040996E+002,-2.5488425E+002,-3.6930353E+002,-1.1805974E+002,-4.7666304E-002, 0.0000000E+000, 0.0000000E+000,-9.2059451E+000,-1.1885229E+001, 1.6186599E-002, 1.6186599E-002
 3.1006199E+001, 7.2462878E+002,-2.5496801E+002,-3.6573876E+002,-1.1748114E+002,-4.7404547E-002, 0.0000000E+000, 0.0000000E+000,-8.4601184E+000,-1.3606531E+001, 1.6186599E-002, 1.6186599E-002
 3.2010387E+001, 7.3722578E+002,-2.5455026E+002,-4.1435128E+002,-1.1591573E+002,-4.7334956E-002, 0.0000000E+000, 0.0000000E+000,-4.4394110E+001,-4.7638834E+001, 1.6186599E-002, 1.6186599E-002
 3.3012695E+001, 7.7407439E+002,-2.6206694E+002,-3.7288191E+002,-1.1679033E+002,-4.7620413E-002, 0.0000000E+000, 0.0000000E+000, 2.5441963E+001, 2.2287588E+001, 1.6186599E-002, 1.6186599E-002
 3.4012516E+001, 7.4353232E+002,-2.5547929E+002,-3.8071480E+002,-1.1327673E+002,-4.7669225E-002, 0.0000000E+000, 0.0000000E+000,-1.3238563E+000,-5.9861649E+000, 1.6186599E-002, 1.6186599E-002
 3.5000237E+001, 7.3632939E+002,-2.5227564E+002,-3.8181936E+002,-1.1255141E+002,-4.7564100E-002, 0.0000000E+000, 0.0000000E+000,-6.3723158E+000,-1.0364585E+001, 1.6186599E-002, 1.6186599E-002
 3.6002178E+001, 7.3023573E+002,-2.5259528E+002,-3.8961429E+002,-1.0924292E+002,-4.7305461E-002, 0.0000000E+000, 0.0000000E+000,-1.8456989E+001,-2.1264077E+001, 1.6186599E-002, 1.6186599E-002
 3.7007748E+001, 7.7214331E+002,-2.5640413E+002,-3.7275279E+002,-1.1016422E+002,-4.7541715E-002, 0.0000000E+000, 0.0000000E+000, 3.6262944E+001, 3.2774630E+001, 1.6186599E-002, 1.6186599E-002
 3.8001095E+001, 8.1665703E+002,-2.7325881E+002,-3.4581424E+002,-1.1439983E+002,-4.7930332E-002, 0.0000000E+000, 0.0000000E+000, 8.7629326E+001, 8.3136231E+001, 1.6186599E-002, 1.6186599E-002
 3.9009087E+001, 7.4659727E+002,-2.6002229E+002,-3.6101804E+002,-1.1741813E+002,-4.7948241E-002, 0.0000000E+000, 0.0000000E+000, 1.1504956E+001, 8.0908596E+000, 1.6186599E-002, 1.6186599E-002
 4.0005249E+001, 7.6662870E+002,-2.6445967E+002,-3.7850453E+002,-1.1622068E+002,-4.8060172E-002, 0.0000000E+000, 0.0000000E+000, 1.2391905E+001, 7.3957564E+000, 1.6186599E-002, 1.6186599E-002
 4.1010750E+001, 7.1656488E+002,-2.5607135E+002,-3.5317152E+002,-1.1545795E+002,-4.7742373E-002, 0.0000000E+000, 0.0000000E+000,-2.3225333E+000,-8.1836706E+000, 1.6186599E-002, 1.6186599E-002
 4.2010632E+001, 7.5187883E+002,-2.6552504E+002,-3.5983115E+002,-1.1750447E+002,-4.7684617E-002, 0.0000000E+000, 0.0000000E+000, 1.4192951E+001, 8.9704868E+000, 1.6186599E-002, 1.6186599E-002
 4.3005146E+001, 7.6614887E+002,-2.6673896E+002,-3.7061014E+002,-1.1609537E+002,-4.7804349E-002, 0.0000000E+000, 0.0000000E+000, 1.6377095E+001, 1.2656588E+001, 1.6186599E-002, 1.6186599E-002
 4.4009441E+001, 7.6378725E+002,-2.6419078E+002,-3.6420589E+002,-1.2026165E+002,-4.8115335E-002, 0.0000000E+000, 0.0000000E+000, 2.0510974E+001, 1.5080819E+001, 1.6186599E-002, 1.6186599E-002
 4.5008667E+001, 7.2057399E+002,-2.6241996E+002,-3.5223681E+002,-1.2086165E+002,-4.7781903E-002, 0.0000000E+000, 0.0000000E+000,-1.0633082E+001,-1.4992203E+001, 1.6186599E-002, 1.6186599E-002
 4.6008289E+001, 7.4884817E+002,-2.6462366E+002,-3.6563797E+002,-1.1818571E+002,-4.7609277E-002, 0.0000000E+000, 0.0000000E+000, 3.9893877E+000, 3.5321968E-001, 1.6186599E-002, 1.6186599E-002
 4.7008327E+001, 7.6083655E+002,-2.6761809E+002,-3.8531246E+002,-1.1845686E+002,-4.7800082E-002, 0.0000000E+000, 0.0000000E+000,-6.5941798E+000,-1.0598658E+001, 1.6186599E-002, 1.6186599E-002
 4.8008614E+001, 7.4210499E+002,-2.6222187E+002,-3.7271404E+002,-1.2257624E+002,-4.7665858E-002, 0.0000000E+000, 0.0000000E+000,-1.0374539E+001,-1.5454825E+001, 1.6186599E-002, 1.6186599E-002
 4.9014633E+001, 7.3828548E+002,-2.6250121E+002,-3.8744567E+002,-1.1868365E+002,-4.7641256E-002, 0.0000000E+000, 0.0000000E+000,-2.7247754E+001,-3.0392690E+001, 1.6186599E-002, 1.6186599E-002
 5.0003628E+001, 7.2283060E+002,-2.5748054E+002,-3.6623281E+002,-1.1368903E+002,-4.7642951E-002, 0.0000000E+000, 0.0000000E+000,-1.1901736E+001,-1.4619419E+001, 1.6186599E-002, 1.6186599E-002
 5.1007896E+001, 7.6165360E+002,-2.6013744E+002,-3.7802993E+002,-1.1425689E+002,-4.7629704E-002, 0.0000000E+000, 0.0000000E+000, 1.4303100E+001, 9.1817138E+000, 1.6186599E-002, 1.6186599E-002
 5.2003826E+001, 7.5065045E+002,-2.6417025E+002,-3.9946748E+002,-1.1872995E+002,-4.7638504E-002, 0.0000000E+000, 0.0000000E+000,-2.8549926E+001,-3.1764865E+001, 1.6186599E-002, 1.6186599E-002
 5.3013683E+001, 7.3705365E+002,-2.5725672E+002,-3.5536621E+002,-1.2025340E+002,-4.7627096E-002, 0.0000000E+000, 0.0000000E+000, 1.0100238E+001, 4.1296913E+000, 1.6186599E-002, 1.6186599E-002
 5.4014839E+001, 7.1804608E+002,-2.5482778E+002,-3.6477887E+002,-1.1549795E+002,-4.7329679E-002, 0.0000000E+000, 0.0000000E+000,-1.3134116E+001,-1.7105858E+001, 1.6186599E-002, 1.6186599E-002
 5.5012661E+001, 7.3596495E+002,-2.5621780E+002,-3.6123323E+002,-1.1424991E+002,-4.7347963E-002, 0.0000000E+000, 0.0000000E+000, 8.8646623E+000, 4.2166581E+000, 1.6186599E-002, 1.6186599E-002
 5.6010876E+001, 7.5324145E+002,-2.5989184E+002,-3.9322509E+002,-1.1671430E+002,-4.7189737E-002, 0.0000000E+000, 0.0000000E+000,-1.2029454E+001,-1.6636968E+001, 1.6186599E-002, 1.6186599E-002
 5.7011154E+001, 7.8085034E+002,-2.6622216E+002,-3.8361213E+002,-1.1277971E+002,-4.7375109E-002, 0.0000000E+000, 0.0000000E+000, 2.2682995E+001, 1.8188963E+001, 1.6186599E-002, 1.6186599E-002
 5.8001656E+001, 7.7171484E+002,-2.6767389E+002,-3.7124021E+002,-1.1384902E+002,-4.7686639E-002, 0.0000000E+000, 0.0000000E+000, 2.2279083E+001, 1.8904029E+001, 1.6186599E-002, 1.6186599E-002
 5.9016403E+001, 7.5325561E+002,-2.6379900E+002,-3.7559398E+002,-1.1491390E+002,-4.7775503E-002, 0.0000000E+000, 0.0000000E+000, 3.7110373E+000,-1.0990402E+000, 1.6186599E-002, 1.6186599E-002
 6.0000000E+001, 7.7076963E+002,-2.6569244E+002,-3.6938875E+002,-1.1560938E+002,-4.7838293E-002, 0.0000000E+000, 0.0000000E+000, 2.4075810E+001, 2.0031218E+001, 1.6186599E-002, 1.6186599E-002
