s,m/s
 5.0043071E+001, 7.6035922E-002
 5.0155419E+001, 7.5712206E-002
 5.0211592E+001, 7.5451559E-002
 5.0323940E+001, 7.5171906E-002
 5.0436287E+001, 7.4772592E-002
 5.0548635E+001, 7.4340977E-002
 5.0604808E+001, 7.3997166E-002
 5.0717156E+001, 7.3633701E-002
 5.0829503E+001, 7.3123640E-002
 5.0941851E+001, 7.2583798E-002
 5.1054198E+001, 7.2014672E-002
 5.1110372E+001, 7.1569693E-002
 5.1222720E+001, 7.1106748E-002
 5.1335067E+001, 7.0466099E-002
 5.1447415E+001, 6.9798581E-002
 5.1503588E+001, 6.9282178E-002
 5.1615936E+001, 6.8751214E-002
 5.1728283E+001, 6.8025305E-002
 5.1840631E+001, 6.7279136E-002
 5.1952978E+001, 6.6513981E-002
 5.2009152E+001, 6.5928874E-002
 5.2121500E+001, 6.5333240E-002
 5.2233847E+001, 6.4526255E-002
 5.2346194E+001, 6.3705702E-002
 5.2402368E+001, 6.3083004E-002
 5.2514716E+001, 6.2454161E-002
 5.2627063E+001, 6.1608793E-002
 5.2739411E+001, 6.0756330E-002
 5.2851758E+001, 5.9897989E-002
 5.2907932E+001, 5.9251261E-002
 5.3020279E+001, 5.8602379E-002
 5.3132627E+001, 5.7735615E-002
 5.3244974E+001, 5.6868615E-002
 5.3301148E+001, 5.6219205E-002
 5.3413496E+001, 5.5571468E-002
 5.3525843E+001, 5.4710924E-002
 5.3638191E+001, 5.3854984E-002
 5.3750538E+001, 5.3004673E-002
 5.3806712E+001, 5.2371143E-002
 5.3919059E+001, 5.1742517E-002
 5.4031407E+001, 5.0912244E-002
 5.4143754E+001, 5.0092788E-002
 5.4256102E+001, 4.9285604E-002
 5.4312275E+001, 4.8688670E-002
 5.4424623E+001, 4.8100340E-002
 5.4536970E+001, 4.7327678E-002
 5.4649318E+001, 4.6570060E-002
 5.4705492E+001, 4.6011788E-002
 5.4817839E+001, 4.5464000E-002
 5.4930187E+001, 4.4748598E-002
 5.5042534E+001, 4.4052029E-002
 5.5154882E+001, 4.3375159E-002
 5.5211055E+001, 4.2880164E-002
 5.5323403E+001, 4.2398103E-002
 5.5435750E+001, 4.1773065E-002
 5.5548098E+001, 4.1169615E-002
 5.5604271E+001, 4.0730785E-002
 5.5716619E+001, 4.0306055E-002
 5.5828966E+001, 3.9758986E-002
 5.5941314E+001, 3.9235538E-002
 5.6053661E+001, 3.8736371E-002
 5.6109835E+001, 3.8377503E-002
 5.6222183E+001, 3.8034482E-002
 5.6334530E+001, 3.7598706E-002
 5.6446878E+001, 3.7189578E-002
 5.6503051E+001, 3.6899650E-002
 5.6615399E+001, 3.6626955E-002
 5.6727746E+001, 3.6286970E-002
 5.6840094E+001, 3.5975697E-002
 5.6952441E+001, 3.5693531E-002
 5.7008615E+001, 3.5500236E-002
 5.7120962E+001, 3.5325428E-002
 5.7233310E+001, 3.5117241E-002
 5.7345657E+001, 3.4939555E-002
 5.7401831E+001, 3.4825812E-002
 5.7514179E+001, 3.4732195E-002
 5.7626526E+001, 3.4634991E-002
 5.7738874E+001, 3.4571697E-002
 5.7851221E+001, 3.4542955E-002
 5.7907395E+001, 3.4543179E-002
 5.8019742E+001, 3.4565265E-002
 5.8132090E+001, 3.4624385E-002
 5.8244437E+001, 3.4719634E-002
 5.8300611E+001, 3.4814128E-002
 5.8412959E+001, 3.4932256E-002
 5.8525306E+001, 3.5122068E-002
 5.8637653E+001, 3.5351083E-002
 5.8750001E+001, 3.5619263E-002
 5.8806175E+001, 3.5844637E-002
 5.8918522E+001, 3.6093935E-002
 5.9030870E+001, 3.6457870E-002
 5.9143217E+001, 3.6859456E-002
 5.9255565E+001, 3.7298716E-002
 5.9311738E+001, 3.7651722E-002
 5.9424086E+001, 3.8027843E-002
 5.9536433E+001, 3.8559038E-002
 5.9648781E+001, 3.9123786E-002
 5.9704955E+001, 3.9566690E-002
 5.9817302E+001, 4.0027176E-002
 5.9929650E+001, 4.0662261E-002
 6.0041997E+001, 4.1320013E-002
 6.0154345E+001, 4.1997238E-002
 6.0210518E+001, 4.2515359E-002
 6.0322866E+001, 4.3041335E-002
 6.0435213E+001, 4.3748912E-002
 6.0547561E+001, 4.4458557E-002
 6.0603734E+001, 4.4988375E-002
 6.0716082E+001, 4.5511768E-002
 6.0828429E+001, 4.6196382E-002
 6.0940777E+001, 4.6859153E-002
 6.1053124E+001, 4.7494165E-002
 6.1109298E+001, 4.7950066E-002
 6.1221646E+001, 4.8382772E-002
 6.1333993E+001, 4.8925303E-002
 6.1446341E+001, 4.9423025E-002
 6.1502514E+001, 4.9766715E-002
 6.1614862E+001, 5.0080097E-002
 6.1727209E+001, 5.0458204E-002
 6.1839557E+001, 5.0791544E-002
 6.1951904E+001, 5.1086005E-002
 6.2008078E+001, 5.1287288E-002
 6.2120425E+001, 5.1475304E-002
 6.2232773E+001, 5.1719033E-002
 6.2345120E+001, 5.1970345E-002
 6.2401294E+001, 5.2174975E-002
 6.2513642E+001, 5.2409595E-002
 6.2625989E+001, 5.2783944E-002
 6.2738337E+001, 5.3262263E-002
 6.2850684E+001, 5.3882769E-002
 6.2906858E+001, 5.4460570E-002
 6.3019205E+001, 5.5177402E-002
 6.3131553E+001, 5.6358959E-002
 6.3243900E+001, 5.7865451E-002
 6.3300074E+001, 5.9236770E-002
 6.3412422E+001, 6.0892548E-002
 6.3524769E+001, 6.3544867E-002
 6.3637116E+001, 6.6819135E-002
 6.3749464E+001, 7.0827866E-002
 6.3805638E+001, 7.4360941E-002
 6.3917985E+001, 7.8492955E-002
 6.4030333E+001, 8.4901138E-002
 6.4142680E+001, 9.2506753E-002
 6.4255028E+001, 1.0143449E-001
 6.4311201E+001, 1.0901200E-001
 6.4423549E+001, 1.1750496E-001
 6.4535896E+001, 1.3005165E-001
 6.4648244E+001, 1.4400047E-001
 6.4704418E+001, 1.5525402E-001
 6.4816765E+001, 1.6716127E-001
 6.4929113E+001, 1.8365158E-001
 6.5041460E+001, 2.0048912E-001
 6.5153807E+001, 2.1715712E-001
 6.5209981E+001, 2.2924430E-001
 6.5322329E+001, 2.4060473E-001
 6.5434676E+001, 2.5439191E-001
 6.5547024E+001, 2.6613827E-001
 6.5603197E+001, 2.7346600E-001
 6.5715545E+001, 2.7917332E-001
 6.5827892E+001, 2.8453377E-001
 6.5940240E+001, 2.8719787E-001
 6.6052587E+001, 2.8728442E-001
 6.6108761E+001, 2.8585664E-001
 6.6221109E+001, 2.8309474E-001
 6.6333456E+001, 2.7787577E-001
 6.6445804E+001, 2.7112039E-001
 6.6501977E+001, 2.6528714E-001
 6.6614325E+001, 2.5888050E-001
 6.6726672E+001, 2.4983446E-001
 6.6839020E+001, 2.4049712E-001
 6.6951367E+001, 2.3121752E-001
 6.7007541E+001, 2.2447220E-001
 6.7119888E+001, 2.1809703E-001
 6.7232236E+001, 2.1025700E-001
 6.7344583E+001, 2.0335074E-001
 6.7400757E+001, 1.9880839E-001
 6.7513105E+001, 1.9491865E-001
 6.7625452E+001, 1.9057868E-001
 6.7737800E+001, 1.8718344E-001
 6.7850147E+001, 1.8461416E-001
 6.7906321E+001, 1.8312707E-001
 6.8018668E+001, 1.8199954E-001
 6.8131016E+001, 1.8086871E-001
 6.8243363E+001, 1.8006381E-001
 6.8355711E+001, 1.7946010E-001
 6.8411884E+001, 1.7907462E-001
 6.8524232E+001, 1.7870928E-001
 6.8636579E+001, 1.7820203E-001
 6.8748927E+001, 1.7763272E-001
 6.8805101E+001, 1.7715303E-001
 6.8917448E+001, 1.7661649E-001
 6.9029796E+001, 1.7583026E-001
 6.9142143E+001, 1.7497377E-001
 6.9254491E+001, 1.7407053E-001
 6.9310664E+001, 1.7337810E-001
 6.9423012E+001, 1.7268565E-001
 6.9535359E+001, 1.7178052E-001
 6.9647707E+001, 1.7091629E-001
 6.9703881E+001, 1.7030237E-001
 6.9816228E+001, 1.6972791E-001
 6.9928575E+001, 1.6901636E-001
 7.0040923E+001, 1.6836691E-001
 7.0153270E+001, 1.6776981E-001
 7.0209444E+001, 1.6734645E-001
 7.0321792E+001, 1.6693704E-001
 7.0434139E+001, 1.6639353E-001
 7.0546487E+001, 1.6583199E-001
 7.0602660E+001, 1.6538625E-001
 7.0715008E+001, 1.6490266E-001
 7.0827355E+001, 1.6419078E-001
 7.0939703E+001, 1.6338000E-001
 7.1052050E+001, 1.6245303E-001
 7.1108224E+001, 1.6167741E-001
 7.1220572E+001, 1.6081566E-001
 7.1332919E+001, 1.5954640E-001
 7.1445267E+001, 1.5813030E-001
 7.1501440E+001, 1.5697639E-001
 7.1613788E+001, 1.5573169E-001
 7.1726135E+001, 1.5395547E-001
 7.1838483E+001, 1.5204617E-001
 7.1950830E+001, 1.5001341E-001
 7.2007004E+001, 1.4841794E-001
 7.2119351E+001, 1.4675851E-001
 7.2231699E+001, 1.4447119E-001
 7.2344046E+001, 1.4210587E-001
 7.2400220E+001, 1.4029080E-001
 7.2512568E+001, 1.3844242E-001
 7.2624915E+001, 1.3594365E-001
 7.2737263E+001, 1.3341555E-001
 7.2849610E+001, 1.3087097E-001
 7.2905784E+001, 1.2895885E-001
 7.3018131E+001, 1.2704931E-001
 7.3130479E+001, 1.2451418E-001
 7.3242826E+001, 1.2199996E-001
 7.3355174E+001, 1.1951479E-001
 7.3411347E+001, 1.1767308E-001
 7.3523695E+001, 1.1585713E-001
 7.3636042E+001, 1.1347460E-001
 7.3748390E+001, 1.1114352E-001
 7.3804564E+001, 1.0943037E-001
 7.3916911E+001, 1.0775532E-001
 7.4029259E+001, 1.0557665E-001
 7.4141606E+001, 1.0346696E-001
 7.4253954E+001, 1.0143092E-001
 7.4310127E+001, 9.9952266E-002
 7.4422475E+001, 9.8524231E-002
 7.4534822E+001, 9.6690558E-002
 7.4647170E+001, 9.4944857E-002
 7.4703343E+001, 9.3692890E-002
 7.4815691E+001, 9.2500609E-002
 7.4928038E+001, 9.0993816E-002
 7.5040386E+001, 8.9590546E-002
 7.5152733E+001, 8.8295325E-002
 7.5208907E+001, 8.7393863E-002
 7.5321255E+001, 8.6564781E-002
 7.5433602E+001, 8.5558828E-002
 7.5545950E+001, 8.4675625E-002
 7.5602123E+001, 8.4091979E-002
 7.5714471E+001, 8.3589043E-002
 7.5826818E+001, 8.3028753E-002
 7.5939166E+001, 8.2604168E-002
 7.6051513E+001, 8.2319577E-002
 7.6107687E+001, 8.2196195E-002
 7.6220035E+001, 8.2165842E-002
 7.6332382E+001, 8.2254140E-002
 7.6444729E+001, 8.2503052E-002
 7.6500903E+001, 8.2794519E-002
 7.6613251E+001, 8.3196201E-002
 7.6725598E+001, 8.3886110E-002
 7.6837946E+001, 8.4770493E-002
 7.6950293E+001, 8.5858841E-002
 7.7006467E+001, 8.6806645E-002
 7.7118814E+001, 8.7888249E-002
 7.7231162E+001, 8.9508913E-002
 7.7343509E+001, 9.1340235E-002
 7.7455857E+001, 9.3373994E-002
 7.7512031E+001, 9.5019307E-002
 7.7624378E+001, 9.6775673E-002
 7.7736726E+001, 9.9252105E-002
 7.7849073E+001, 1.0187434E-001
 7.7905247E+001, 1.0392221E-001
 7.8017594E+001, 1.0604148E-001
 7.8129942E+001, 1.0895042E-001
 7.8242289E+001, 1.1194660E-001
 7.8354637E+001, 1.1501830E-001
 7.8410810E+001, 1.1736444E-001
 7.8523158E+001, 1.1974963E-001
 7.8635505E+001, 1.2297994E-001
 7.8747853E+001, 1.2627112E-001
 7.8804027E+001, 1.2877855E-001
 7.8916374E+001, 1.3132636E-001
 7.9028722E+001, 1.3477877E-001
 7.9141069E+001, 1.3829750E-001
 7.9253417E+001, 1.4187943E-001
 7.9309590E+001, 1.4460160E-001
 7.9421938E+001, 1.4735327E-001
 7.9534285E+001, 1.5104956E-001
 7.9646633E+001, 1.5475978E-001
 7.9702806E+001, 1.5753656E-001
 7.9815154E+001, 1.6029009E-001
 7.9927501E+001, 1.6390368E-001
 8.0039849E+001, 1.6741154E-001
 8.0152196E+001, 1.7076950E-001
 8.0208370E+001, 1.7316985E-001
 8.0320718E+001, 1.7542723E-001
 8.0433065E+001, 1.7821582E-001
 8.0545413E+001, 1.8070638E-001
 8.0601586E+001, 1.8236969E-001
 8.0713934E+001, 1.8381476E-001
 8.0826281E+001, 1.8543754E-001
 8.0938629E+001, 1.8668502E-001
 8.1050976E+001, 1.8755291E-001
 8.1107150E+001, 1.8796778E-001
 8.1219497E+001, 1.8815127E-001
 8.1331845E+001, 1.8809756E-001
 8.1444192E+001, 1.8770211E-001
 8.1500366E+001, 1.8720420E-001
 8.1612714E+001, 1.8651977E-001
 8.1725061E+001, 1.8537998E-001
 8.1837409E+001, 1.8399511E-001
 8.1949756E+001, 1.8239726E-001
 8.2005930E+001, 1.8108355E-001
 8.2118277E+001, 1.7967158E-001
 8.2230625E+001, 1.7767924E-001
 8.2342972E+001, 1.7557920E-001
 8.2455320E+001, 1.7339675E-001
 8.2511494E+001, 1.7172089E-001
 8.2623841E+001, 1.7001735E-001
 8.2736189E+001, 1.6772235E-001
 8.2848536E+001, 1.6541300E-001
 8.2904710E+001, 1.6367956E-001
 8.3017057E+001, 1.6195093E-001
 8.3129405E+001, 1.5965887E-001
 8.3241752E+001, 1.5738750E-001
 8.3354100E+001, 1.5514138E-001
 8.3410273E+001, 1.5347408E-001
 8.3522621E+001, 1.5182484E-001
 8.3634968E+001, 1.4965015E-001
 8.3747316E+001, 1.4750441E-001
 8.3803490E+001, 1.4591319E-001
 8.3915837E+001, 1.4433939E-001
 8.4028185E+001, 1.4226278E-001
 8.4140532E+001, 1.4021099E-001
 8.4252880E+001, 1.3818192E-001
 8.4309053E+001, 1.3667292E-001
 8.4421401E+001, 1.3517529E-001
 8.4533748E+001, 1.3319170E-001
 8.4646096E+001, 1.3122179E-001
 8.4702269E+001, 1.2975156E-001
 8.4814617E+001, 1.2828721E-001
 8.4926964E+001, 1.2634077E-001
 8.5039312E+001, 1.2439954E-001
 8.5151659E+001, 1.2246059E-001
 8.5207833E+001, 1.2100653E-001
 8.5320181E+001, 1.1955131E-001
 8.5432528E+001, 1.1760890E-001
 8.5544876E+001, 1.1566410E-001
 8.5601049E+001, 1.1420455E-001
 8.5713397E+001, 1.1274462E-001
 8.5825744E+001, 1.1079840E-001
 8.5938092E+001, 1.0885484E-001
 8.6050439E+001, 1.0691502E-001
 8.6106613E+001, 1.0546281E-001
 8.6218960E+001, 1.0401350E-001
 8.6331308E+001, 1.0208545E-001
 8.6443655E+001, 1.0016372E-001
 8.6556003E+001, 9.8250288E-002
 8.6612177E+001, 9.6821698E-002
 8.6724524E+001, 9.5400859E-002
 8.6836872E+001, 9.3517915E-002
 8.6949219E+001, 9.1649444E-002
 8.7005393E+001, 9.0257147E-002
 8.7117740E+001, 8.8873903E-002
 8.7230088E+001, 8.7041195E-002
 8.7342435E+001, 8.5223249E-002
 8.7454783E+001, 8.3421715E-002
 8.7510957E+001, 8.2082649E-002
 8.7623304E+001, 8.0756924E-002
 8.7735651E+001, 7.9009375E-002
 8.7847999E+001, 7.7287320E-002
 8.7904173E+001, 7.6012128E-002
 8.8016520E+001, 7.4753428E-002
 8.8128868E+001, 7.3097460E-002
 8.8241215E+001, 7.1469141E-002
 8.8353563E+001, 6.9870062E-002
 8.8409736E+001, 6.8689958E-002
 8.8522084E+001, 6.7529770E-002
 8.8634431E+001, 6.6009325E-002
 8.8746779E+001, 6.4519526E-002
 8.8802953E+001, 6.3420147E-002
 8.8915300E+001, 6.2338031E-002
 8.9027648E+001, 6.0917786E-002
 8.9139995E+001, 5.9525311E-002
 8.9252342E+001, 5.8162670E-002
 8.9308516E+001, 5.7160883E-002
 8.9420864E+001, 5.6180472E-002
 8.9533211E+001, 5.4902199E-002
 8.9645559E+001, 5.3658380E-002
 8.9701732E+001, 5.2746522E-002
 8.9814080E+001, 5.1855056E-002
 8.9926427E+001, 5.0693248E-002
 9.0038775E+001, 4.9564648E-002
 9.0151122E+001, 4.8470652E-002
 9.0207296E+001, 4.7672509E-002
 9.0319644E+001, 4.6896767E-002
 9.0431991E+001, 4.5891243E-002
 9.0544339E+001, 4.4918195E-002
 9.0600512E+001, 4.4207242E-002
 9.0712860E+001, 4.3514406E-002
 9.0825207E+001, 4.2614684E-002
 9.0937555E+001, 4.1744492E-002
 9.1049902E+001, 4.0905685E-002
 9.1106076E+001, 4.0297676E-002
 9.1218423E+001, 3.9711160E-002
 9.1330771E+001, 3.8957717E-002
 9.1443118E+001, 3.8237865E-002
 9.1555466E+001, 3.7550588E-002
 9.1611640E+001, 3.7055464E-002
 9.1723987E+001, 3.6580726E-002
 9.1836335E+001, 3.5975598E-002
 9.1948682E+001, 3.5404843E-002
 9.2004856E+001, 3.4998453E-002
 9.2117203E+001, 3.4613077E-002
 9.2229551E+001, 3.4126284E-002
 9.2341898E+001, 3.3670584E-002
 9.2454246E+001, 3.3244403E-002
 9.2510419E+001, 3.2942847E-002
 9.2622767E+001, 3.2659304E-002
 9.2735114E+001, 3.2306124E-002
 9.2847462E+001, 3.1984511E-002
 9.2903636E+001, 3.1763383E-002
 9.3015983E+001, 3.1562169E-002
 9.3128331E+001, 3.1319555E-002
 9.3240678E+001, 3.1105311E-002
 9.3353026E+001, 3.0916502E-002
 9.3409199E+001, 3.0789189E-002
 9.3521547E+001, 3.0674355E-002
 9.3633894E+001, 3.0536192E-002
 9.3746242E+001, 3.0414568E-002
 9.3802416E+001, 3.0332570E-002
 9.3914763E+001, 3.0258459E-002
 9.4027110E+001, 3.0167855E-002
 9.4139458E+001, 3.0083211E-002
 9.4251805E+001, 2.9998671E-002
 9.4307979E+001, 2.9931800E-002
 9.4420327E+001, 2.9858584E-002
 9.4532674E+001, 2.9749187E-002
 9.4645022E+001, 2.9623596E-002
 9.4701195E+001, 2.9518980E-002
 9.4813543E+001, 2.9404500E-002
 9.4925890E+001, 2.9239948E-002
 9.5038238E+001, 2.9063165E-002
 9.5150585E+001, 2.8876418E-002
 9.5206759E+001, 2.8732051E-002
 9.5319107E+001, 2.8586188E-002
 9.5431454E+001, 2.8394208E-002
 9.5543802E+001, 2.8213104E-002
 9.5656149E+001, 2.8054869E-002
 9.5712323E+001, 2.7957991E-002
 9.5824670E+001, 2.7891245E-002
 9.5937018E+001, 2.7854525E-002
 9.6049365E+001, 2.7895444E-002
 9.6105539E+001, 2.7984412E-002
 9.6217886E+001, 2.8144265E-002
 9.6330234E+001, 2.8471387E-002
 9.6442581E+001, 2.8964266E-002
 9.6554929E+001, 2.9662698E-002
 9.6611103E+001, 3.0340333E-002
 9.6723450E+001, 3.1199458E-002
 9.6835798E+001, 3.2623715E-002
 9.6948145E+001, 3.4420643E-002
 9.7004319E+001, 3.6020452E-002
 9.7116666E+001, 3.7884641E-002
 9.7229014E+001, 4.0727154E-002
 9.7341361E+001, 4.3990222E-002
 9.7453709E+001, 4.7653018E-002
 9.7509882E+001, 5.0632555E-002
 9.7622230E+001, 5.3823595E-002
 9.7734577E+001, 5.8328656E-002
 9.7846925E+001, 6.3094660E-002
 9.7903099E+001, 6.6806777E-002
 9.8015446E+001, 7.0630572E-002
 9.8127794E+001, 7.5842380E-002
 9.8240141E+001, 8.1147031E-002
 9.8352489E+001, 8.6494237E-002
 9.8408662E+001, 9.0503087E-002
 9.8521010E+001, 9.4480793E-002
 9.8633357E+001, 9.9702746E-002
 9.8745705E+001, 1.0477696E-001
 9.8801879E+001, 1.0845846E-001
 9.8914226E+001, 1.1198533E-001
 9.9026573E+001, 1.1643385E-001
 9.9138921E+001, 1.2052747E-001
 9.9251268E+001, 1.2420876E-001
 9.9307442E+001, 1.2668280E-001
 9.9419790E+001, 1.2884434E-001
 9.9532137E+001, 1.3128181E-001
 9.9644485E+001, 1.3316138E-001
 9.9700658E+001, 1.3421349E-001
 9.9813006E+001, 1.3490618E-001
 9.9925353E+001, 1.3535722E-001
 1.0000000E+002, 1.3532253E-001
